medal_type,medal_code,athlete_name,athlete_sex,event,country,discipline,season
Silver,2,Berihu AREGAWI,M,"Men's 10,000m",Ethiopia,Athletics,Summer
Bronze,3,Grant FISHER,M,"Men's 10,000m",United States,Athletics,Summer
Gold,1,ZHENG/HUANG,X,Mixed Doubles,China,Badminton,Summer
Silver,2,KIM/JEONG,X,Mixed Doubles,Korea,Badminton,Summer
Bronze,3,WATANABE/HIGASHINO,X,Mixed Doubles,Japan,Badminton,Summer
Gold,1,Joris DAUDET,M,Men,France,Cycling BMX Racing,Summer
Silver,2,Sylvain ANDRE,M,Men,France,Cycling BMX Racing,Summer
Bronze,3,Romain MAHIEU,M,Men,France,Cycling BMX Racing,Summer
Gold,1,Saya SAKAKIBARA,W,Women,Australia,Cycling BMX Racing,Summer
Silver,2,Manon VEENSTRA,W,Women,Netherlands,Cycling BMX Racing,Summer
Bronze,3,Zoe CLAESSENS,W,Women,Switzerland,Cycling BMX Racing,Summer
Gold,1,China,M,Men's Synchronised 3m Springboard,China,Diving,Summer
Silver,2,Mexico,M,Men's Synchronised 3m Springboard,Mexico,Diving,Summer
Bronze,3,Great Britain,M,Men's Synchronised 3m Springboard,Great Britain,Diving,Summer
Gold,1,Great Britain,O,Jumping Team,Great Britain,Equestrian,Summer
Silver,2,United States,O,Jumping Team,United States,Equestrian,Summer
Bronze,3,France,O,Jumping Team,France,Equestrian,Summer
Gold,1,Hungary,M,Men's Épée Team,Hungary,Fencing,Summer
Silver,2,Japan,M,Men's Épée Team,Japan,Fencing,Summer
Bronze,3,Czechia,M,Men's Épée Team,Czechia,Fencing,Summer
Gold,1,Teddy RINER,M,Men +100 kg,France,Judo,Summer
Silver,2,KIM Minjong,M,Men +100 kg,Korea,Judo,Summer
Bronze,3,Temur RAKHIMOV,M,Men +100 kg,Tajikistan,Judo,Summer
Bronze,3,Alisher YUSUPOV,M,Men +100 kg,Uzbekistan,Judo,Summer
Gold,1,Beatriz SOUZA,W,Women +78 kg,Brazil,Judo,Summer
Silver,2,Raz HERSHKO,W,Women +78 kg,Israel,Judo,Summer
Bronze,3,KIM Hayun,W,Women +78 kg,Korea,Judo,Summer
Bronze,3,Romane DICKO,W,Women +78 kg,France,Judo,Summer
Gold,1,Ireland,M,Lightweight Men's Double Sculls,Ireland,Rowing,Summer
Silver,2,Italy,M,Lightweight Men's Double Sculls,Italy,Rowing,Summer
Bronze,3,Greece,M,Lightweight Men's Double Sculls,Greece,Rowing,Summer
Gold,1,Great Britain,W,Lightweight Women's Double Sculls,Great Britain,Rowing,Summer
Silver,2,Romania,W,Lightweight Women's Double Sculls,Romania,Rowing,Summer
Bronze,3,Greece,W,Lightweight Women's Double Sculls,Greece,Rowing,Summer
Gold,1,Croatia,M,Men's Pair,Croatia,Rowing,Summer
Silver,2,Great Britain,M,Men's Pair,Great Britain,Rowing,Summer
Bronze,3,Switzerland,M,Men's Pair,Switzerland,Rowing,Summer
Gold,1,Netherlands,W,Women's Pair,Netherlands,Rowing,Summer
Silver,2,Romania,W,Women's Pair,Romania,Rowing,Summer
Bronze,3,Australia,W,Women's Pair,Australia,Rowing,Summer
Gold,1,BOTIN/TRITTEL,M,Men's Skiff,Spain,Sailing,Summer
Silver,2,McHARDIE/McKENZIE,M,Men's Skiff,New Zealand,Sailing,Summer
Bronze,3,BARROWS/HENKEN,M,Men's Skiff,United States,Sailing,Summer
Gold,1,AANHOLT/DUETZ,W,Women's Skiff,Netherlands,Sailing,Summer
Silver,2,BOBECK/NETZLER,W,Women's Skiff,Sweden,Sailing,Summer
Bronze,3,STEYAERT/PICON,W,Women's Skiff,France,Sailing,Summer
Gold,1,Chiara LEONE,W,50m Rifle 3 Positions Women,Switzerland,Shooting,Summer
Silver,2,Sagen MADDALENA,W,50m Rifle 3 Positions Women,United States,Shooting,Summer
Bronze,3,ZHANG Qiongyue,W,50m Rifle 3 Positions Women,China,Shooting,Summer
Gold,1,Leon MARCHAND,M,Men's 200m Individual Medley,France,Swimming,Summer
Silver,2,Duncan SCOTT,M,Men's 200m Individual Medley,Great Britain,Swimming,Summer
Bronze,3,WANG Shun,M,Men's 200m Individual Medley,China,Swimming,Summer
Gold,1,Cameron McEVOY,M,Men's 50m Freestyle,Australia,Swimming,Summer
Silver,2,Benjamin PROUD,M,Men's 50m Freestyle,Great Britain,Swimming,Summer
Bronze,3,Florent MANAUDOU,M,Men's 50m Freestyle,France,Swimming,Summer
Gold,1,Kaylee McKEOWN,W,Women's 200m Backstroke,Australia,Swimming,Summer
Silver,2,Regan SMITH,W,Women's 200m Backstroke,United States,Swimming,Summer
Bronze,3,Kylie MASSE,W,Women's 200m Backstroke,Canada,Swimming,Summer
Gold,1,SINIAKOVA/MACHAC,X,Mixed Doubles,Czechia,Tennis,Summer
Silver,2,WANG/ZHANG,X,Mixed Doubles,China,Tennis,Summer
Bronze,3,DABROWSKI/AUGER-ALIAS,X,Mixed Doubles,Canada,Tennis,Summer
Bronze,3,Iga SWIATEK,W,Women's Singles,Poland,Tennis,Summer
Gold,1,Ivan LITVINOVICH,M,Men,AIN,Trampoline Gymnastics,Summer
Silver,2,WANG Zisai,M,Men,China,Trampoline Gymnastics,Summer
Bronze,3,YAN Langyu,M,Men,China,Trampoline Gymnastics,Summer
Gold,1,Bryony PAGE,W,Women,Great Britain,Trampoline Gymnastics,Summer
Silver,2,Viyaleta BARDZILOUSKAYA,W,Women,AIN,Trampoline Gymnastics,Summer
Bronze,3,Sophiane METHOT,W,Women,Canada,Trampoline Gymnastics,Summer
Gold,1,LIM Sihyeon,W,Women's Individual,Korea,Archery,Summer
Silver,2,NAM Suhyeon,W,Women's Individual,Korea,Archery,Summer
Bronze,3,Lisa BARBELIN,W,Women's Individual,France,Archery,Summer
Gold,1,Carlos Edriel YULO,M,Men's Floor Exercise,Philippines,Artistic Gymnastics,Summer
Silver,2,Artem DOLGOPYAT,M,Men's Floor Exercise,Israel,Artistic Gymnastics,Summer
Bronze,3,Jake JARMAN,M,Men's Floor Exercise,Great Britain,Artistic Gymnastics,Summer
Gold,1,Rhys MC CLENAGHAN,M,Men's Pommel Horse,Ireland,Artistic Gymnastics,Summer
Silver,2,Nariman KURBANOV,M,Men's Pommel Horse,Kazakhstan,Artistic Gymnastics,Summer
Bronze,3,Stephen NEDOROSCIK,M,Men's Pommel Horse,United States,Artistic Gymnastics,Summer
Gold,1,Simone BILES,W,Women's Vault,United States,Artistic Gymnastics,Summer
Silver,2,Rebeca ANDRADE,W,Women's Vault,Brazil,Artistic Gymnastics,Summer
Bronze,3,Jade CAREY,W,Women's Vault,United States,Artistic Gymnastics,Summer
Gold,1,Netherlands,X,4 x 400m Relay Mixed,Netherlands,Athletics,Summer
Silver,2,United States,X,4 x 400m Relay Mixed,United States,Athletics,Summer
Bronze,3,Great Britain,X,4 x 400m Relay Mixed,Great Britain,Athletics,Summer
Gold,1,Markus ROOTH,M,Men's Decathlon,Norway,Athletics,Summer
Silver,2,Leo NEUGEBAUER,M,Men's Decathlon,Germany,Athletics,Summer
Bronze,3,Lindon VICTOR,M,Men's Decathlon,Grenada,Athletics,Summer
Gold,1,Ryan CROUSER,M,Men's Shot Put,United States,Athletics,Summer
Silver,2,Joe KOVACS,M,Men's Shot Put,United States,Athletics,Summer
Bronze,3,Rajindra CAMPBELL,M,Men's Shot Put,Jamaica,Athletics,Summer
Gold,1,Julien ALFRED,W,Women's 100m,Saint Lucia,Athletics,Summer
Silver,2,Sha'carri RICHARDSON,W,Women's 100m,United States,Athletics,Summer
Bronze,3,Melissa JEFFERSON,W,Women's 100m,United States,Athletics,Summer
Gold,1,Thea LAFOND,W,Women's Triple Jump,Dominica,Athletics,Summer
Silver,2,Shanieka RICKETTS,W,Women's Triple Jump,Jamaica,Athletics,Summer
Bronze,3,Jasmine MOORE,W,Women's Triple Jump,United States,Athletics,Summer
Gold,1,CHEN/JIA,W,Women's Doubles,China,Badminton,Summer
Silver,2,LIU/TAN,W,Women's Doubles,China,Badminton,Summer
Bronze,3,MATSUYAMA/SHIDA,W,Women's Doubles,Japan,Badminton,Summer
Bronze,3,WU Shih Yi,W,Women's 60kg,Chinese Taipei,Boxing,Summer
Bronze,3,Beatriz Iasmin SOARES FERREIRA,W,Women's 60kg,Brazil,Boxing,Summer
Gold,1,Remco EVENEPOEL,M,Men's Road Race,Belgium,Cycling Road,Summer
Silver,2,Valentin MADOUAS,M,Men's Road Race,France,Cycling Road,Summer
Bronze,3,Christophe LAPORTE,M,Men's Road Race,France,Cycling Road,Summer
Gold,1,Germany,O,Dressage Team,Germany,Equestrian,Summer
Silver,2,Denmark,O,Dressage Team,Denmark,Equestrian,Summer
Bronze,3,Great Britain,O,Dressage Team,Great Britain,Equestrian,Summer
Gold,1,Ukraine,W,Women's Sabre Team,Ukraine,Fencing,Summer
Silver,2,Korea,W,Women's Sabre Team,Korea,Fencing,Summer
Bronze,3,Japan,W,Women's Sabre Team,Japan,Fencing,Summer
Gold,1,France,X,Mixed Team,France,Judo,Summer
Silver,2,Japan,X,Mixed Team,Japan,Judo,Summer
Bronze,3,Brazil,X,Mixed Team,Brazil,Judo,Summer
Bronze,3,Korea,X,Mixed Team,Korea,Judo,Summer
Gold,1,Great Britain,M,Men's Eight,Great Britain,Rowing,Summer
Silver,2,Netherlands,M,Men's Eight,Netherlands,Rowing,Summer
Bronze,3,United States,M,Men's Eight,United States,Rowing,Summer
Gold,1,Oliver ZEIDLER,M,Men's Single Sculls,Germany,Rowing,Summer
Silver,2,Yauheni ZALATY,M,Men's Single Sculls,AIN,Rowing,Summer
Bronze,3,Simon van DORP,M,Men's Single Sculls,Netherlands,Rowing,Summer
Gold,1,Romania,W,Women's Eight,Romania,Rowing,Summer
Silver,2,Canada,W,Women's Eight,Canada,Rowing,Summer
Bronze,3,Great Britain,W,Women's Eight,Great Britain,Rowing,Summer
Gold,1,Karolien FLORIJN,W,Women's Single Sculls,Netherlands,Rowing,Summer
Silver,2,Emma TWIGG,W,Women's Single Sculls,New Zealand,Rowing,Summer
Bronze,3,Viktorija SENKUTE,W,Women's Single Sculls,Lithuania,Rowing,Summer
Gold,1,Tom REUVENY,M,Men's Windsurfing,Israel,Sailing,Summer
Silver,2,Grae MORRIS,M,Men's Windsurfing,Australia,Sailing,Summer
Bronze,3,Luuc van OPZEELAND,M,Men's Windsurfing,Netherlands,Sailing,Summer
Gold,1,Marta MAGGETTI,W,Women's Windsurfing,Italy,Sailing,Summer
Silver,2,Sharon KANTOR,W,Women's Windsurfing,Israel,Sailing,Summer
Bronze,3,Emma WILSON,W,Women's Windsurfing,Great Britain,Sailing,Summer
Gold,1,YANG Jiin,W,25m Pistol Women,Korea,Shooting,Summer
Silver,2,Camille JEDRZEJEWSKI,W,25m Pistol Women,France,Shooting,Summer
Bronze,3,Veronika MAJOR,W,25m Pistol Women,Hungary,Shooting,Summer
Gold,1,Vincent HANCOCK,M,Skeet Men,United States,Shooting,Summer
Silver,2,Conner Lynn PRINCE,M,Skeet Men,United States,Shooting,Summer
Bronze,3,LEE Meng Yuan,M,Skeet Men,Chinese Taipei,Shooting,Summer
Gold,1,Kristof MILAK,M,Men's 100m Butterfly,Hungary,Swimming,Summer
Silver,2,Josh LIENDO,M,Men's 100m Butterfly,Canada,Swimming,Summer
Bronze,3,Ilya KHARUN,M,Men's 100m Butterfly,Canada,Swimming,Summer
Gold,1,United States,X,Mixed 4 x 100m Medley Relay,United States,Swimming,Summer
Silver,2,China,X,Mixed 4 x 100m Medley Relay,China,Swimming,Summer
Bronze,3,Australia,X,Mixed 4 x 100m Medley Relay,Australia,Swimming,Summer
Gold,1,Summer McINTOSH,W,Women's 200m Individual Medley,Canada,Swimming,Summer
Silver,2,Kate DOUGLASS,W,Women's 200m Individual Medley,United States,Swimming,Summer
Bronze,3,Kaylee McKEOWN,W,Women's 200m Individual Medley,Australia,Swimming,Summer
Gold,1,Katie LEDECKY,W,Women's 800m Freestyle,United States,Swimming,Summer
Silver,2,Ariarne TITMUS,W,Women's 800m Freestyle,Australia,Swimming,Summer
Bronze,3,Paige MADDEN,W,Women's 800m Freestyle,United States,Swimming,Summer
Gold,1,CHEN Meng,W,Women's Singles,China,Table Tennis,Summer
Silver,2,SUN Yingsha,W,Women's Singles,China,Table Tennis,Summer
Bronze,3,Hina HAYATA,W,Women's Singles,Japan,Table Tennis,Summer
Gold,1,EBDEN/PEERS,M,Men's Doubles,Australia,Tennis,Summer
Silver,2,KRAJICEK/RAM,M,Men's Doubles,United States,Tennis,Summer
Bronze,3,FRITZ/PAUL,M,Men's Doubles,United States,Tennis,Summer
Bronze,3,Lorenzo MUSETTI,M,Men's Singles,Italy,Tennis,Summer
Gold,1,ZHENG Qinwen,W,Women's Singles,China,Tennis,Summer
Silver,2,Donna VEKIC,W,Women's Singles,Croatia,Tennis,Summer
Gold,1,KIM Woojin,M,Men's Individual,Korea,Archery,Summer
Silver,2,Brady ELLISON,M,Men's Individual,United States,Archery,Summer
Bronze,3,LEE Wooseok,M,Men's Individual,Korea,Archery,Summer
Gold,1,LIU Yang,M,Men's Rings,China,Artistic Gymnastics,Summer
Silver,2,ZOU Jingyuan,M,Men's Rings,China,Artistic Gymnastics,Summer
Bronze,3,Eleftherios PETROUNIAS,M,Men's Rings,Greece,Artistic Gymnastics,Summer
Gold,1,Carlos Edriel YULO,M,Men's Vault,Philippines,Artistic Gymnastics,Summer
Silver,2,Artur DAVTYAN,M,Men's Vault,Armenia,Artistic Gymnastics,Summer
Bronze,3,Harry HEPWORTH,M,Men's Vault,Great Britain,Artistic Gymnastics,Summer
Gold,1,Kaylia NEMOUR,W,Women's Uneven Bars,Algeria,Artistic Gymnastics,Summer
Silver,2,QIU Qiyuan,W,Women's Uneven Bars,China,Artistic Gymnastics,Summer
Bronze,3,Sunisa LEE,W,Women's Uneven Bars,United States,Artistic Gymnastics,Summer
Gold,1,Noah LYLES,M,Men's 100m,United States,Athletics,Summer
Silver,2,Kishane THOMPSON,M,Men's 100m,Jamaica,Athletics,Summer
Bronze,3,Fred KERLEY,M,Men's 100m,United States,Athletics,Summer
Gold,1,Ethan KATZBERG,M,Men's Hammer Throw,Canada,Athletics,Summer
Silver,2,Bence HALASZ,M,Men's Hammer Throw,Hungary,Athletics,Summer
Bronze,3,Mykhaylo KOKHAN,M,Men's Hammer Throw,Ukraine,Athletics,Summer
Gold,1,Yaroslava MAHUCHIKH,W,Women's High Jump,Ukraine,Athletics,Summer
Silver,2,Nicola OLYSLAGERS,W,Women's High Jump,Australia,Athletics,Summer
Bronze,3,Iryna GERASHCHENKO,W,Women's High Jump,Ukraine,Athletics,Summer
Bronze,3,Eleanor PATTERSON,W,Women's High Jump,Australia,Athletics,Summer
Gold,1,LEE/WANG,M,Men's Doubles,Chinese Taipei,Badminton,Summer
Silver,2,LIANG/WANG,M,Men's Doubles,China,Badminton,Summer
Bronze,3,CHIA/SOH,M,Men's Doubles,Malaysia,Badminton,Summer
Bronze,3,Gregoria Mariska TUNJUNG,W,Women's Singles,Indonesia,Badminton,Summer
Bronze,3,Yunior ALCANTARA REYES,M,Men's 51kg,Dominican Republic,Boxing,Summer
Bronze,3,David de PINA,M,Men's 51kg,Cabo Verde,Boxing,Summer
Bronze,3,Wyatt SANFORD,M,Men's 63.5kg,Canada,Boxing,Summer
Bronze,3,Lasha GURULI,M,Men's 63.5kg,Georgia,Boxing,Summer
Bronze,3,Cristian Javier PINALES,M,Men's 80kg,Dominican Republic,Boxing,Summer
Bronze,3,Arlen LOPEZ CARDONA,M,Men's 80kg,Cuba,Boxing,Summer
Bronze,3,Enmanuel REYES PLA,M,Men's 92kg,Spain,Boxing,Summer
Bronze,3,Davlat BOLTAEV,M,Men's 92kg,Tajikistan,Boxing,Summer
Bronze,3,PANG Cholmi,W,Women's 54kg,DPR Korea,Boxing,Summer
Bronze,3,IM Aeji,W,Women's 54kg,Korea,Boxing,Summer
Gold,1,Kristen FAULKNER,W,Women's Road Race,United States,Cycling Road,Summer
Silver,2,Marianne VOS,W,Women's Road Race,Netherlands,Cycling Road,Summer
Bronze,3,Lotte KOPECKY,W,Women's Road Race,Belgium,Cycling Road,Summer
Gold,1,Jessica von BREDOW-WERNDL,O,Dressage Individual,Germany,Equestrian,Summer
Silver,2,Isabell WERTH,O,Dressage Individual,Germany,Equestrian,Summer
Bronze,3,Charlotte FRY,O,Dressage Individual,Great Britain,Equestrian,Summer
Gold,1,Japan,M,Men's Foil Team,Japan,Fencing,Summer
Silver,2,Italy,M,Men's Foil Team,Italy,Fencing,Summer
Bronze,3,France,M,Men's Foil Team,France,Fencing,Summer
Gold,1,Scottie SCHEFFLER,M,Men's Individual Stroke Play,United States,Golf,Summer
Silver,2,Tommy FLEETWOOD,M,Men's Individual Stroke Play,Great Britain,Golf,Summer
Bronze,3,MATSUYAMA Hideki,M,Men's Individual Stroke Play,Japan,Golf,Summer
Gold,1,Francisca CROVETTO CHADID,W,Skeet Women,Chile,Shooting,Summer
Silver,2,Amber Jo RUTTER,W,Skeet Women,Great Britain,Shooting,Summer
Bronze,3,Austen Jewell SMITH,W,Skeet Women,United States,Shooting,Summer
Gold,1,Bobby FINKE,M,Men's 1500m Freestyle,United States,Swimming,Summer
Silver,2,Gregorio PALTRINIERI,M,Men's 1500m Freestyle,Italy,Swimming,Summer
Bronze,3,Daniel WIFFEN,M,Men's 1500m Freestyle,Ireland,Swimming,Summer
Gold,1,China,M,Men's 4 x 100m Medley Relay,China,Swimming,Summer
Silver,2,United States,M,Men's 4 x 100m Medley Relay,United States,Swimming,Summer
Bronze,3,France,M,Men's 4 x 100m Medley Relay,France,Swimming,Summer
Gold,1,United States,W,Women's 4 x 100m Medley Relay,United States,Swimming,Summer
Silver,2,Australia,W,Women's 4 x 100m Medley Relay,Australia,Swimming,Summer
Bronze,3,China,W,Women's 4 x 100m Medley Relay,China,Swimming,Summer
Gold,1,Sarah SJOESTROEM,W,Women's 50m Freestyle,Sweden,Swimming,Summer
Silver,2,Meg HARRIS,W,Women's 50m Freestyle,Australia,Swimming,Summer
Bronze,3,ZHANG Yufei,W,Women's 50m Freestyle,China,Swimming,Summer
Gold,1,FAN Zhendong,M,Men's Singles,China,Table Tennis,Summer
Silver,2,Truls MOREGARD,M,Men's Singles,Sweden,Table Tennis,Summer
Bronze,3,Felix LEBRUN,M,Men's Singles,France,Table Tennis,Summer
Gold,1,Novak DJOKOVIC,M,Men's Singles,Serbia,Tennis,Summer
Silver,2,Carlos ALCARAZ,M,Men's Singles,Spain,Tennis,Summer
Gold,1,ERRANI/PAOLINI,W,Women's Doubles,Italy,Tennis,Summer
Silver,2,ANDREEVA/SHNAIDER,W,Women's Doubles,AIN,Tennis,Summer
Bronze,3,BUCSA/SORRIBES TORMO,W,Women's Doubles,Spain,Tennis,Summer
Gold,1,Netherlands,M,Men,Netherlands,3x3 Basketball,Summer
Silver,2,France,M,Men,France,3x3 Basketball,Summer
Bronze,3,Lithuania,M,Men,Lithuania,3x3 Basketball,Summer
Gold,1,Germany,W,Women,Germany,3x3 Basketball,Summer
Silver,2,Spain,W,Women,Spain,3x3 Basketball,Summer
Bronze,3,United States,W,Women,United States,3x3 Basketball,Summer
Gold,1,OKA Shinnosuke,M,Men's Horizontal Bar,Japan,Artistic Gymnastics,Summer
Silver,2,Angel BARAJAS,M,Men's Horizontal Bar,Colombia,Artistic Gymnastics,Summer
Bronze,3,ZHANG Boheng,M,Men's Horizontal Bar,China,Artistic Gymnastics,Summer
Bronze,3,TANG Chia-Hung,M,Men's Horizontal Bar,Chinese Taipei,Artistic Gymnastics,Summer
Gold,1,ZOU Jingyuan,M,Men's Parallel Bars,China,Artistic Gymnastics,Summer
Silver,2,Illia KOVTUN,M,Men's Parallel Bars,Ukraine,Artistic Gymnastics,Summer
Bronze,3,OKA Shinnosuke,M,Men's Parallel Bars,Japan,Artistic Gymnastics,Summer
Gold,1,Alice D'AMATO,W,Women's Balance Beam,Italy,Artistic Gymnastics,Summer
Silver,2,ZHOU Yaqin,W,Women's Balance Beam,China,Artistic Gymnastics,Summer
Bronze,3,Manila ESPOSITO,W,Women's Balance Beam,Italy,Artistic Gymnastics,Summer
Gold,1,Rebeca ANDRADE,W,Women's Floor Exercise,Brazil,Artistic Gymnastics,Summer
Silver,2,Simone BILES,W,Women's Floor Exercise,United States,Artistic Gymnastics,Summer
Bronze,3,Ana BARBOSU,W,Women's Floor Exercise,Romania,Artistic Gymnastics,Summer
Gold,1,Armand DUPLANTIS,M,Men's Pole Vault,Sweden,Athletics,Summer
Silver,2,Sam KENDRICKS,M,Men's Pole Vault,United States,Athletics,Summer
Bronze,3,Emmanouil KARALIS,M,Men's Pole Vault,Greece,Athletics,Summer
Gold,1,Beatrice CHEBET,W,Women's 5000m,Kenya,Athletics,Summer
Silver,2,Faith KIPYEGON,W,Women's 5000m,Kenya,Athletics,Summer
Bronze,3,Sifan HASSAN,W,Women's 5000m,Netherlands,Athletics,Summer
Gold,1,Keely HODGKINSON,W,Women's 800m,Great Britain,Athletics,Summer
Silver,2,Tsige DUGUMA,W,Women's 800m,Ethiopia,Athletics,Summer
Bronze,3,Mary MORAA,W,Women's 800m,Kenya,Athletics,Summer
Gold,1,Valarie ALLMAN,W,Women's Discus Throw,United States,Athletics,Summer
Silver,2,FENG Bin,W,Women's Discus Throw,China,Athletics,Summer
Bronze,3,Sandra ELKASEVIC,W,Women's Discus Throw,Croatia,Athletics,Summer
Gold,1,Viktor AXELSEN,M,Men's Singles,Denmark,Badminton,Summer
Silver,2,Kunlavut VITIDSARN,M,Men's Singles,Thailand,Badminton,Summer
Bronze,3,Zii Jia LEE,M,Men's Singles,Malaysia,Badminton,Summer
Gold,1,AN Se Young,W,Women's Singles,Korea,Badminton,Summer
Silver,2,HE Bing Jiao,W,Women's Singles,China,Badminton,Summer
Gold,1,Finn BUTCHER,M,Men's Kayak Cross,New Zealand,Canoe Slalom,Summer
Silver,2,Joseph CLARKE,M,Men's Kayak Cross,Great Britain,Canoe Slalom,Summer
Bronze,3,Noah HEGGE,M,Men's Kayak Cross,Germany,Canoe Slalom,Summer
Gold,1,Noemie FOX,W,Women's Kayak Cross,Australia,Canoe Slalom,Summer
Silver,2,Angele HUG,W,Women's Kayak Cross,France,Canoe Slalom,Summer
Bronze,3,Kimberley WOODS,W,Women's Kayak Cross,Great Britain,Canoe Slalom,Summer
Gold,1,Great Britain,W,Women's Team Sprint,Great Britain,Cycling Track,Summer
Silver,2,New Zealand,W,Women's Team Sprint,New Zealand,Cycling Track,Summer
Bronze,3,Germany,W,Women's Team Sprint,Germany,Cycling Track,Summer
Gold,1,LI Yuehong,M,25m Rapid Fire Pistol Men,China,Shooting,Summer
Silver,2,CHO Yeongjae,M,25m Rapid Fire Pistol Men,Korea,Shooting,Summer
Bronze,3,WANG Xinjie,M,25m Rapid Fire Pistol Men,China,Shooting,Summer
Gold,1,Italy 1,X,Skeet Mixed Team,Italy,Shooting,Summer
Silver,2,United States 1,X,Skeet Mixed Team,United States,Shooting,Summer
Bronze,3,China,X,Skeet Mixed Team,China,Shooting,Summer
Gold,1,Kauli VAAST,M,Men,France,Surfing,Summer
Silver,2,Jack ROBINSON,M,Men,Australia,Surfing,Summer
Bronze,3,Gabriel MEDINA,M,Men,Brazil,Surfing,Summer
Gold,1,Caroline MARKS,W,Women,United States,Surfing,Summer
Silver,2,Tatiana WESTON-WEBB,W,Women,Brazil,Surfing,Summer
Bronze,3,Johanne DEFAY,W,Women,France,Surfing,Summer
Gold,1,Germany,X,Mixed Relay,Germany,Triathlon,Summer
Silver,2,United States,X,Mixed Relay,United States,Triathlon,Summer
Bronze,3,Great Britain,X,Mixed Relay,Great Britain,Triathlon,Summer
Gold,1,Cole HOCKER,M,Men's 1500m,United States,Athletics,Summer
Silver,2,Josh KERR,M,Men's 1500m,Great Britain,Athletics,Summer
Bronze,3,Yared NUGUSE,M,Men's 1500m,United States,Athletics,Summer
Gold,1,Miltiadis TENTOGLOU,M,Men's Long Jump,Greece,Athletics,Summer
Silver,2,Wayne PINNOCK,M,Men's Long Jump,Jamaica,Athletics,Summer
Bronze,3,Mattia FURLANI,M,Men's Long Jump,Italy,Athletics,Summer
Gold,1,Gabrielle THOMAS,W,Women's 200m,United States,Athletics,Summer
Silver,2,Julien ALFRED,W,Women's 200m,Saint Lucia,Athletics,Summer
Bronze,3,Brittany BROWN,W,Women's 200m,United States,Athletics,Summer
Gold,1,Winfred YAVI,W,Women's 3000m Steeplechase,Bahrain,Athletics,Summer
Silver,2,Peruth CHEMUTAI,W,Women's 3000m Steeplechase,Uganda,Athletics,Summer
Bronze,3,Faith CHEROTICH,W,Women's 3000m Steeplechase,Kenya,Athletics,Summer
Gold,1,Camryn ROGERS,W,Women's Hammer Throw,Canada,Athletics,Summer
Silver,2,Annette Nneka ECHIKUNWOKE,W,Women's Hammer Throw,United States,Athletics,Summer
Bronze,3,ZHAO Jie,W,Women's Hammer Throw,China,Athletics,Summer
Bronze,3,Omari JONES,M,Men's 71kg,United States,Boxing,Summer
Bronze,3,Lewis RICHARDSON,M,Men's 71kg,Great Britain,Boxing,Summer
Bronze,3,Nazym KYZAIBAY,W,Women's 50kg,Kazakhstan,Boxing,Summer
Bronze,3,Aira VILLEGAS,W,Women's 50kg,Philippines,Boxing,Summer
Gold,1,Kellie HARRINGTON,W,Women's 60kg,Ireland,Boxing,Summer
Silver,2,YANG Wenlu,W,Women's 60kg,China,Boxing,Summer
Bronze,3,Janjaem SUWANNAPHENG,W,Women's 66kg,Thailand,Boxing,Summer
Bronze,3,CHEN Nien Chin,W,Women's 66kg,Chinese Taipei,Boxing,Summer
Gold,1,Netherlands,M,Men's Team Sprint,Netherlands,Cycling Track,Summer
Silver,2,Great Britain,M,Men's Team Sprint,Great Britain,Cycling Track,Summer
Bronze,3,Australia,M,Men's Team Sprint,Australia,Cycling Track,Summer
Gold,1,QUAN Hongchan,W,Women's 10m Platform,China,Diving,Summer
Silver,2,CHEN Yuxi,W,Women's 10m Platform,China,Diving,Summer
Bronze,3,KIM Mi Rae,W,Women's 10m Platform,DPR Korea,Diving,Summer
Gold,1,Christian KUKUK,O,Jumping Individual,Germany,Equestrian,Summer
Silver,2,Steve GUERDAT,O,Jumping Individual,Switzerland,Equestrian,Summer
Bronze,3,Maikel van der VLEUTEN,O,Jumping Individual,Netherlands,Equestrian,Summer
Gold,1,Arisa TREW,W,Women's Park,Australia,Skateboarding,Summer
Silver,2,HIRAKI Cocona,W,Women's Park,Japan,Skateboarding,Summer
Bronze,3,Sky BROWN,W,Women's Park,Great Britain,Skateboarding,Summer
Gold,1,Mijain LOPEZ NUNEZ,M,Men's Greco-Roman 130kg,Cuba,Wrestling,Summer
Silver,2,Yasmani ACOSTA FERNANDEZ,M,Men's Greco-Roman 130kg,Chile,Wrestling,Summer
Bronze,3,Amin MIRZAZADEH,M,Men's Greco-Roman 130kg,IR Iran,Wrestling,Summer
Bronze,3,MENG Lingzhe,M,Men's Greco-Roman 130kg,China,Wrestling,Summer
Gold,1,FUMITA Kenichiro,M,Men's Greco-Roman 60kg,Japan,Wrestling,Summer
Silver,2,CAO Liguo,M,Men's Greco-Roman 60kg,China,Wrestling,Summer
Bronze,3,Zholaman SHARSHENBEKOV,M,Men's Greco-Roman 60kg,Kyrgyzstan,Wrestling,Summer
Bronze,3,RI Se Ung,M,Men's Greco-Roman 60kg,DPR Korea,Wrestling,Summer
Gold,1,Amit ELOR,W,Women's Freestyle 68kg,United States,Wrestling,Summer
Silver,2,Meerim ZHUMANAZAROVA,W,Women's Freestyle 68kg,Kyrgyzstan,Wrestling,Summer
Bronze,3,Buse CAVUSOGLU TOSUN,W,Women's Freestyle 68kg,Türkiye,Wrestling,Summer
